repetitions;time(ns)
10000;246202659
20000;451682981
30000;680209503
40000;870408233
50000;1043739649
60000;1272338689
70000;1430763136
80000;1589162015
90000;1746054531
100000;1901991335
110000;2116381619
120000;2332097785
130000;2499376696
140000;2649488319
150000;2800271667
160000;2952587374
170000;3104313600
180000;3256485648
190000;3406847007
200000;3558203195
210000;3708765958
220000;3858560617
230000;4007112266
240000;4159981714
250000;4310064279
260000;4461735688
270000;4614001047
280000;4768999685
290000;4920655718
300000;5072105749
310000;5226184449
320000;5376814344
330000;5530844040
340000;5682857429
350000;5835559991
360000;5987903927
370000;6139953641
380000;6293014313
390000;6442708716
400000;6597169145
410000;6747996655
420000;6900026254
430000;7052281824
440000;7204017952
450000;7358915764
460000;7512076367
470000;7670403418
480000;7823934294
490000;7977060135
500000;8127711415
510000;8280330671
520000;8432334279
530000;8584862264
540000;8736168270
550000;8888236319
560000;9039582811
570000;9192981215
580000;9345569482
590000;9501388214
600000;9653922396
610000;9806699141
620000;9958579282
630000;10112248335
640000;10264091277
650000;10414400407
660000;10567145851
670000;10721495767
680000;10873714849
690000;11025380752
700000;11178638875
710000;11331641206
720000;11481621132
730000;11636244293
740000;11787919478
750000;11939413191
760000;12092394777
770000;12244440173
780000;12397605119
790000;12551340343
800000;12704168049
810000;12856486255
820000;13008979075
830000;13163433906
840000;13317238509
850000;13469862166
860000;13622010051
870000;13773993600
880000;13927405334
890000;14079729624
900000;14231864986
910000;14385522615
920000;14538339515
930000;14689871434
940000;14842572215
950000;14998695098
960000;15150408239
970000;15303988202
980000;15456294566
990000;15612291132
1000000;15766398357
1010000;15917685435
1020000;16070752694
1030000;16224714287
1040000;16378904251
1050000;16529539188
1060000;16682424931
1070000;16836449181
1080000;16992598448
1090000;17149830355
1100000;17305616487
1110000;17459751641
1120000;17609707348
1130000;17763445707
1140000;17919490961
1150000;18071508218
1160000;18227368849
1170000;18381385733
1180000;18534334216
1190000;18689932660
1200000;18845074774
1210000;19001413983
1220000;19153497943
1230000;19308745851
1240000;19461222502
1250000;19616607007
1260000;19770331203
1270000;19924014344
1280000;20078521878
1290000;20232284007
1300000;20386973927
1310000;20542206288
1320000;20697254642
1330000;20849531467
1340000;21004809793
1350000;21160396901
1360000;21313967186
1370000;21468090214
1380000;21623126933
1390000;21776521979
1400000;21932593549
1410000;22088084588
1420000;22241938571
1430000;22395761509
1440000;22549364912
1450000;22704089376
1460000;22858816110
1470000;23010505993
1480000;23164633269
1490000;23320975297
1500000;23475488617
1510000;23629061820
1520000;23785343834
1530000;23943424846
1540000;24097130537
1550000;24251452575
1560000;24405916793
1570000;24561301965
1580000;24713707962
1590000;24866349594
1600000;25022231788
1610000;25175860510
1620000;25331764604
1630000;25484878108
1640000;25640806958
1650000;25798090644
1660000;25952253165
1670000;26104500220
1680000;26260918524
1690000;26414255133
1700000;26569102771
1710000;26725856231
1720000;26882160920
1730000;27038674684
1740000;27191685062
1750000;27349885952
1760000;27506476180
1770000;27660020990
1780000;27814324933
1790000;27967516179
1800000;28123715994
1810000;28280445938
1820000;28432026226
1830000;28585597167
1840000;28741183408
1850000;28896016144
1860000;29050398647
1870000;29203378513
1880000;29360169154
1890000;29514519020
1900000;29668056160
1910000;29822096075
1920000;29981055945
1930000;30135371531
1940000;30288668880
1950000;30446976447
1960000;30603284332
1970000;30757568591
1980000;30908450976
1990000;31063743710
